Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,7,158,0,Some Random Commen with Id 0
1,1,7,63,6,Some Random Commen with Id 1
2,1,7,111,1,Some Random Commen with Id 2
3,1,7,135,1,Some Random Commen with Id 3
4,1,7,136,3,Some Random Commen with Id 4
5,1,7,160,5,Some Random Commen with Id 5
6,2,5,113,4,Some Random Commen with Id 6
7,2,5,161,4,Some Random Commen with Id 7
8,2,5,105,3,Some Random Commen with Id 8
9,2,5,80,0,Some Random Commen with Id 9
10,2,5,191,8,Some Random Commen with Id 10
11,2,5,198,6,Some Random Commen with Id 11
12,2,5,198,1,Some Random Commen with Id 12
13,3,1,28,2,Some Random Commen with Id 13
14,3,1,130,4,Some Random Commen with Id 14
15,3,1,74,8,Some Random Commen with Id 15
16,3,1,147,3,Some Random Commen with Id 16
17,3,1,77,0,Some Random Commen with Id 17
18,3,1,129,7,Some Random Commen with Id 18
19,5,5,121,1,Some Random Commen with Id 19
20,5,5,152,6,Some Random Commen with Id 20
21,5,5,72,9,Some Random Commen with Id 21
22,5,5,187,1,Some Random Commen with Id 22
23,5,5,57,8,Some Random Commen with Id 23
24,5,5,143,4,Some Random Commen with Id 24
25,5,5,94,1,Some Random Commen with Id 25
26,5,5,23,0,Some Random Commen with Id 26
27,5,5,64,6,Some Random Commen with Id 27
28,6,0,70,8,Some Random Commen with Id 28
29,6,0,126,0,Some Random Commen with Id 29
30,6,0,75,4,Some Random Commen with Id 30
31,7,2,104,5,Some Random Commen with Id 31
32,7,2,156,2,Some Random Commen with Id 32
33,7,2,17,8,Some Random Commen with Id 33
34,7,2,137,3,Some Random Commen with Id 34
35,7,2,188,7,Some Random Commen with Id 35
36,7,2,32,0,Some Random Commen with Id 36
37,7,2,179,1,Some Random Commen with Id 37
38,8,1,51,0,Some Random Commen with Id 38
39,8,1,106,6,Some Random Commen with Id 39
40,8,1,141,9,Some Random Commen with Id 40
41,8,1,117,3,Some Random Commen with Id 41
42,9,3,77,6,Some Random Commen with Id 42
43,9,3,115,1,Some Random Commen with Id 43
44,9,3,71,0,Some Random Commen with Id 44
45,9,3,158,5,Some Random Commen with Id 45
46,9,3,102,6,Some Random Commen with Id 46
47,9,3,52,7,Some Random Commen with Id 47
48,9,3,102,1,Some Random Commen with Id 48
49,9,3,48,0,Some Random Commen with Id 49
50,9,3,122,0,Some Random Commen with Id 50
51,10,6,146,1,Some Random Commen with Id 51
52,10,6,25,4,Some Random Commen with Id 52
53,10,6,76,2,Some Random Commen with Id 53
54,10,6,120,4,Some Random Commen with Id 54
55,10,6,26,0,Some Random Commen with Id 55
56,10,6,15,5,Some Random Commen with Id 56
57,10,6,12,7,Some Random Commen with Id 57
58,10,6,50,0,Some Random Commen with Id 58
59,11,4,54,9,Some Random Commen with Id 59
60,11,4,104,7,Some Random Commen with Id 60
61,11,4,39,9,Some Random Commen with Id 61
62,11,4,21,8,Some Random Commen with Id 62
63,12,2,158,3,Some Random Commen with Id 63
64,12,2,90,5,Some Random Commen with Id 64
65,12,2,68,6,Some Random Commen with Id 65
66,12,2,165,5,Some Random Commen with Id 66
67,13,7,108,9,Some Random Commen with Id 67
68,13,7,179,2,Some Random Commen with Id 68
69,13,7,82,0,Some Random Commen with Id 69
70,13,7,22,7,Some Random Commen with Id 70
71,13,7,43,1,Some Random Commen with Id 71
72,15,6,183,4,Some Random Commen with Id 72
73,15,6,182,6,Some Random Commen with Id 73
74,15,6,169,5,Some Random Commen with Id 74
75,16,0,32,8,Some Random Commen with Id 75
76,16,0,63,8,Some Random Commen with Id 76
77,16,0,149,1,Some Random Commen with Id 77
78,16,0,2,9,Some Random Commen with Id 78
79,16,0,186,5,Some Random Commen with Id 79
80,16,0,79,8,Some Random Commen with Id 80
81,17,7,0,5,Some Random Commen with Id 81
82,17,7,8,6,Some Random Commen with Id 82
83,17,7,108,2,Some Random Commen with Id 83
84,17,7,30,4,Some Random Commen with Id 84
85,17,7,129,8,Some Random Commen with Id 85
86,18,8,165,4,Some Random Commen with Id 86
87,18,8,69,2,Some Random Commen with Id 87
88,18,8,28,3,Some Random Commen with Id 88
89,18,8,186,7,Some Random Commen with Id 89
90,18,8,36,4,Some Random Commen with Id 90
91,18,8,31,6,Some Random Commen with Id 91
92,18,8,44,2,Some Random Commen with Id 92
93,18,8,111,5,Some Random Commen with Id 93
94,18,8,19,7,Some Random Commen with Id 94
95,19,7,21,6,Some Random Commen with Id 95
96,19,7,117,3,Some Random Commen with Id 96
97,22,2,113,4,Some Random Commen with Id 97
98,22,2,48,8,Some Random Commen with Id 98
99,22,2,79,7,Some Random Commen with Id 99
100,22,2,81,0,Some Random Commen with Id 100
101,22,2,91,7,Some Random Commen with Id 101
102,22,2,14,1,Some Random Commen with Id 102
103,22,2,24,4,Some Random Commen with Id 103
104,22,2,8,4,Some Random Commen with Id 104
105,22,2,90,4,Some Random Commen with Id 105
106,23,7,159,7,Some Random Commen with Id 106
107,23,7,107,3,Some Random Commen with Id 107
108,23,7,121,6,Some Random Commen with Id 108
109,23,7,105,5,Some Random Commen with Id 109
110,23,7,193,6,Some Random Commen with Id 110
111,23,7,57,8,Some Random Commen with Id 111
112,23,7,62,7,Some Random Commen with Id 112
113,24,6,186,1,Some Random Commen with Id 113
114,24,6,122,0,Some Random Commen with Id 114
115,24,6,29,7,Some Random Commen with Id 115
116,24,6,89,9,Some Random Commen with Id 116
117,24,6,51,5,Some Random Commen with Id 117
118,24,6,113,5,Some Random Commen with Id 118
119,25,2,169,0,Some Random Commen with Id 119
120,25,2,172,5,Some Random Commen with Id 120
121,25,2,144,0,Some Random Commen with Id 121
122,25,2,2,9,Some Random Commen with Id 122
123,25,2,46,9,Some Random Commen with Id 123
124,25,2,170,6,Some Random Commen with Id 124
125,25,2,38,6,Some Random Commen with Id 125
126,25,2,78,0,Some Random Commen with Id 126
127,25,2,112,6,Some Random Commen with Id 127
128,26,8,156,7,Some Random Commen with Id 128
129,26,8,84,1,Some Random Commen with Id 129
130,26,8,145,8,Some Random Commen with Id 130
131,26,8,171,8,Some Random Commen with Id 131
132,26,8,107,3,Some Random Commen with Id 132
133,26,8,141,9,Some Random Commen with Id 133
134,26,8,130,0,Some Random Commen with Id 134
135,26,8,0,9,Some Random Commen with Id 135
136,27,9,73,2,Some Random Commen with Id 136
137,27,9,90,9,Some Random Commen with Id 137
138,27,9,67,3,Some Random Commen with Id 138
139,27,9,142,2,Some Random Commen with Id 139
140,27,9,176,1,Some Random Commen with Id 140
141,27,9,62,0,Some Random Commen with Id 141
142,27,9,155,7,Some Random Commen with Id 142
143,27,9,49,1,Some Random Commen with Id 143
144,27,9,13,9,Some Random Commen with Id 144
145,28,5,30,4,Some Random Commen with Id 145
146,29,2,44,4,Some Random Commen with Id 146
